No.,Filing Yr,Pub Yr.,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Filing Date,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,Solar Finance/ Business Model,Miscellaneous,Filing Year,
48,2007,2009,26-Mar-09,US 2009/0078299 A1,"Barry CINNAMON, Emanuel E. Levy, David E. Baker, Alexander W. Au","Akeena Solar, Inc.",Solar Mounting/Rack,"11/859,724",9/21/2007,MOUNTING SYSTEM FOR SOLAR PANELS,21-Sep-07,Established,Publicly Traded,Thin-film solar manufacturer,"Los Gatos, CA",CA,USA,"An integrated module frame and racking system for a solar panel is disclosed. The solar panel comprises a plurality of solar modules and a plurality of splices for coupling the plurality of solar modules together. The plurality of splices provide a way to make the connected modules mechanically rigid both during transport to the roof and after mounting for the lifetime of the system, provide wiring connections between modules, provide an electrical grounding path for the modules, provide a way to add modules to the panel, and provide a way to remove or change a defective module. Connector mount assemblies are provided on the sides of the modules to simplify the electrical assembly of modules when the modules are connected together with splices and to simplify the final connection of external wiring to the module.",Mounting system for solar,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090078299%22.PGNR.&OS=DN/20090078299&RS=DN/20090078299,0,4,,RELATED TO PATENT: 7987641,Application ,"""Mounting"" (title) and ""solar"" (Title)",Utility,Yes,,Yes,TRUE,,http://www.akeena.com/residential/index.php,Bought out by Westinghouse Solar,FALSE,TRUE,FALSE,,,,2007,
41,2007,2008,24-Apr-08,US 2008/0097655 A1,"Ron Hadar, Stuart D. Davis",Tigo Energy,Solar Inverter; Solar Monitoring,"11/875,799",10/19/2007,Method and System to Provide a Distributed Local Energy Production System with High-Voltage DC Bus ,19-Oct-07,Start-up,Privately owned,,"Cupertino, CA",CA,USA,"A method and system to provide a distributed local energy production system with high-voltage DC bus is disclosed. In one embodiment, a system comprises a management unit to be interconnected via a network bus to a set of link modules, each link module coupled to a separate local energy production unit, each link module to include a Maximum Power Point Tracking (MPPT) step-up converter and a parameter monitoring unit to produce parameter data for the respective local energy production unit, and the local energy production units to be coupled to a high voltage power line to deliver produced electrical energy to a consumer of the energy; and the management unit to receive measured parameters from the link modules, and to send control signals to link modules to provide individual operational control of the local energy production units, the management unit to be coupled to one or more separate computers to provide the computers with access to the parameter data and control of the local energy production units.",,Inverter is part of overall system to provide solar or other renewable DC power generation,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=464&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=10&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,28 (on application0,,,"[0001] The present application claims priority to U.S. Provisional Patent Application Ser. No. 60/852,961, filed Oct. 19, 2006, which is incorporated herein by reference.",Application Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,TRUE,,2007,
74,2007,2009,22-Jan-09,US 2009/0020151 A1,Martin Fornage,PVI Solutions Inc.,Solar Inverter,"11/879,054",7/16/2007,Method and apparatus for converting a direct current to alternating current utilizing a plurality of inverters ,16-Jul-07,Established ,Publicly Traded,unknown,`,CA,USA,"An apparatus for converting Direct Current (DC) to Alternating Current (AC), comprising a plurality of inverters, each inverter having a separate DC input adapted to be coupled to at least one solar cell defining an area of a solar panel.",Inverters are tied to solar modules,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=434&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=9&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,4,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://enphase.com/,Former Enphase name,TRUE,FALSE,FALSE,,,,2007,
56,2008,2010,8 Sep 06,US 2010/0224227 A1 ,Stephen Lindsey,TwentyNinety Limited,Solar Monitoring,"11/913,310 ",136/244; 136/252; 257/E31.001; 257/E31.11,Energy Generating Device and Method,27 May 04,Start-up,Privately Owned,,London,N/A,United Kingdom," A photovoltaic module is described, the module including at least one photovoltaic cell. The module also includes means for storing an identifier for the photovoltaic module, a sensor for sensing the value of at least one parameter indicative of the operation of the photovoltaic module and an electronic communication device for transmitting data comprising the value of the at least one parameter and the identifier for the photovoltaic module to a remote device. There is also described an electronic communication device for a photovoltaic module and an array of such photovoltaic modules, which may form an energy generation system. Methods of monitoring the operation of one or more photovoltaic modules as well as managing and communicating with the modules are also described. ",Power system monitoring,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=637&p=13&f=G&l=50&d=PG01&S1=%28%28solar.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29+OR+%28photovoltaic.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29%29&OS=+%28aclm/solar+and+%28aclm/monitor+or+aclm/monitoring%29%29+or+%28aclm/photovoltaic+and+%28aclm/monitor+or+aclm/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,,0,,,Patent Search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Utility,,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Yes,TRUE,,,,,,TRUE,,,,,
33,2007,2008,3-Jul-08,US 2008/0156365 A1,"Jeremy H. Scholz, Paul M. Adriani",,Solar Mounting/Rack,"11/924,594",10/25/2007,EDGE MOUNTABLE ELECTRICAL CONNECTION ASSEMBLY,25-Oct-07,,,,"(Sunnyvale, CA)",CA,USA,"Methods and devices are provided for improved large-scale solar installations. In one embodiment, a photovoltaic module is provided comprising of a plurality of photovoltaic cells positioned between a transparent module layer and a backside module layer. The module includes a first electrical lead extending outward from an edge of the module from between the transparent module layer and the backside module layer, wherein the lead is couplable to an adjacent module without passing the lead through a central junction box or an opening in either the transparent module layer or the backside module layer. The module may include a second electrical lead extending outward from an edge of the module from between the transparent module layer and the backside module layer, wherein the lead is couplable to another adjacent module without passing the lead through a central junction box or an opening in either the transparent module layer or the backside module layer.",,Mounting assemblies for electrical connectionsin large-scale solar. ,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080156365%22.PGNR.&OS=DN/20080156365&RS=DN/20080156365,0,1,,"[0001] This application claims the benefit of priority to U.S. Provisional Application Ser. No. 60/862,979 filed Oct. 25, 2006, fully incorporated herein by reference for all purposes.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2007,
90,2007,2008,28 May 04,US 2008-0123226 A1,"McGinn; Patrick; (Puslinch, CA) ; Kazemi; Hossein; (Burlington, CA) ; Zubieta; Luis; (Oakville, CA)",Assignee information unavailable,Solar Monitoring,"11/944,816",361/42,Ground Fault Detector Interrupter ,25 Nov 03,unknown,unknown,,"Puslinch, CA",CA,USA,A ground fault detector interrupter (GFDI) is described. The GFDI configured for use with a DC power supply and comprises the following elements. A ground current path is provided for coupling a ground terminal of the DC power supply and a system ground. A grounding switch is placed in the ground current path. A current detector is configured to detect a ground current in the ground current path. A controller is configured to compare the ground current with a predefined current set point and output a fault indication signal if the ground current exceeds the predefined current set point. The fault indication signal results in the grounding switch being open., ,ground fault detector with monitoring,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=1071&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=22&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),0,,no,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,
34,2007,2008,26-Jun-08,US 2008/0149163 A1,Ron Gangemi,,Solar Mounting/Rack,"11/947,718",11/29/2007,SYSTEM AND METHOD FOR MOUNTING PHOTOVOLTAIC CELLS,29-Nov-07,,,,"(Nevada City, CA)",CA,USA,"The present invention is directed to a system for mounting photovoltaic cells on a surface, the system including a tile frame containing photovoltaic cells, an expansion arm on a side of the tile frame, a well in the expansion harm, and an adhesive in the well for contacting a cover. The invention is also directed to methods for making and using the system for mounting photovoltaic cells.",Device and method for mounting PV cells on roofs; ,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080149163%22.PGNR.&OS=DN/20080149163&RS=DN/20080149163,,,,"[0001] This application is a continuation-in-part of U.S. patent application Ser. No. 10/931,183, which was filed on Aug. 31, 2004, the content of which is incorporated herein by reference in its entirety.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2007,
89,2007,2008,18 Jun 04,US 2008-0143188 A1,"Adest; Meir; (Raanana, IL) ; Handelsman; Lior; (Givataim, IL) ; Galin; Yoav; (Raanana, IL) ; Fishelov; Amir; (Tel Aviv, IL) ; Sella; Guy; (Bitan Aharon, IL)",Assignee information unavailable,complete solar system,"11/950,271",307/82,DISTRIBUTED POWER HARVESTING SYSTEMS USING DC POWER SOURCES ,3 Dec 03,unknown,unknown,unknown,"Raanana, IL",IL,USA,"A system and method for combining power from DC power sources. Each power source is coupled to a converter. Each converter converts input power to output power by monitoring and maintaining the input power at a maximum power point. Substantially all input power is converted to the output power, and the controlling is performed by allowing output voltage of the converter to vary. The converters are coupled in series. An inverter is connected in parallel with the series connection of the converters and inverts a DC input to the inverter from the converters into an AC output. The inverter maintains the voltage at the inverter input at a desirable voltage by varying the amount of the series current drawn from the converters. The series current and the output power of the converters, determine the output voltage at each converter.", ,system for harvesting energy from DC solar arrays; includes monitoring,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=1059&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=22&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),23,,no,60/868851; 60/868893; 60/868962; 60/908095; 60/916815; 11/950224,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,
87,2007,2008,18 Jun 04,US 2008-0147335 A1,"Adest; Meir; (Raanana, IL) ; Handelsman; Lior; (Givataim, IL) ; Galin; Yoav; (Raanana, IL) ; Fishelov; Amir; (Tel Aviv, IL) ; Sella; Guy; (Bitan Aharon, IL)",Assignee information unavailable,Solar Monitoring,"11/951,419 ",702/64; 702/188,MONITORING OF DISTRIBUTED POWER HARVESTING SYSTEMS USING DC POWER SOURCES ,5 Dec 03,unknown,unknown,Residential/Commercial Solar installer,"Raanana, IL",IL,USA,MONITORING OF DISTRIBUTED POWER HARVESTING SYSTEMS USING DC POWER SOURCES ,power monitoring, ,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=1054&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=22&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),15,,no,60/868851; 60/868893; 60/868962; 60/908095; 60/916815; 11/950224,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,
76,2008,2009,15 Jul 05,US 2009-0179662 A1,"Moulton; Thomas A.; (New Port Richey, FL) ; Wilhelmson; Eric; (New Port Richey, FL)",Assignee information unavailable,Solar Monitoring,"11/972,222",324/764.01,System for Monitoring Individual Photovoltaic Modules,9 Jan 04,unknown,unknown,Solar power management and optimization,"New Port Richey, FL",FL,USA,"A system for monitoring the power output levels for each photovoltaic module of a solar array. The system connects individual photovoltaic module with its own voltage level sensing circuit, where the power output data is transferred through wired and wireless means to be efficiently analyzed. In addition to isolating high voltage DC power for safer information, the system enables technicians to quickly ascertain the productivity levels, potential problems, solutions and exact locations relating to each specific photovoltaic module within a solar array.",power monitoring,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=889&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=18&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),0,,no,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,
83,2008,2009,7 Jan 05,US 2009-0008998 A1,"Behrentdorff; Grant; (Northern Territory, AU) ; Frearson; Lyndon; (Northern Territory, AU) ; Stanley; Dennis; (Northern Territory, AU) ; Franklin; Clayton; (Northern Territory, AU)",Centre for Appropriate Technology Inc.,Solar Monitoring,"11/997,686",307/35; 714/E11.207,Electrical Power Distribution and Control System,2 Aug 02,established,NGO,Inverter manufacturer,"Alice Springs, AU",,AU,"The invention relates to an electrical power distribution and control system adapted to accept electrical power from one or more electrical power supply sources and meter and monitor consumption of this power by a user. The system can be programmed with a time period and an electrical power allowance for both critical and non critical loads for this period of time, and it can shut-off power supply to non-critical loads if the allowance for these has been exceeded before the time period has elapsed.", ,"smart meter, used with solar",http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=969&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=20&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),0,,no,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,smart meter,,,TRUE,,,,,
61,2008,2009,17-Sep-09,US 2009/0229200 A1,"Robert Noble, Nicol M. Zeller, William S. Adelson, Mark Duane Colby, Jeffrey Ryan Labrum",,Solar Mounting/Rack,"12/046,113",3/11/2008,Photovoltaic System and Method,11 Mar 08,I,,Solar systems research and development,"(Encinitas, CA)",CA,USA,"A relocatable photovoltaic system includes a fixed anchoring system; a relocatable base removably attachable to the fixed anchoring system; and a canopy attachable to the relocatable base, the canopy including a plurality of energy converting units that convert solar energy into electrical energy.",Ground mount anchoring  system that enables PV modules or arrays to be removed amd relocated,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=358&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=8&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2008,
36,2008,2008,14-Aug-08,US 2008/0190480 A1,Rajeev Joshi,,Solar Mounting/Rack,"12/069,094",2/6/2008,Leadframe based photo voltaic electronic assembly,6-Feb-08,,,,"(Cupertino, CA)",CA,USA,A leadframe based photovoltaic assembly and method for assembling the same is disclosed. The photovoltaic assembly comprises a first and second mold compounds to effectuate the accurate placement of an optical concentrator above a photovoltaic cell. The photovoltaic assembly is able to be assembled using existing mature semiconductor packaging technologies.,,Solar cell assembly is made from lead frame with mounting devices,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080190480%22.PGNR.&OS=DN/20080190480&RS=DN/20080190480,0,0,,"[0001] This application claims priority under 35 U.S.C. .sctn.119(e) to co-pending Provisional U.S. Patent Application No. 60/901,377 filed Feb. 14, 2007 which is hereby incorporated by reference.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2008,
88,2008,2008,18 Jun 04,US 2008-0143554 A1,"Green; Ezra; (Hempstead, NY) ; Dockweiler; Robert; (Wantagh, NY) ; O'Connor; William; (Bethpage, NY)",Assignee information unavailable,Solar Monitoring,"12/070,925",340/870.02,Remote access energy meter system and method,21 Feb 04,unknown,unknown,unknown,"Hempstead, NY",NY,USA,"A remote energy meter system and method is provided having a meter server and a client module located remotely from the meter server. The meter server communicates with the client via a wireless communications link to recover energy production parameter values. The remote energy meter system preferably provides real-time and automated monitoring of, at least, energy production and system failure parameters.",remote monitoring,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=1057&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=22&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),1,,no,11/177035; 60/586993,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,
71,2008,2009,17-Sep-09,US 2009/0231890 A1,"Michael Joseph Schutten, Robert Louis Steigerwald, John Stanley Glaser, Juan Antonio Sabate, Michael Andrew de Rooij",General Electric Company,Solar Inverter,"12/075,588",3/11/2008,Boost converter input ripple current reduction circuit,11-Mar-08,Established ,Publicly Traded,,"Schenectady, NY",NY,USA,"A boost inductor value reduction circuit is integrated into a traditional boost power converter to greatly reduce undesirable high frequency harmonics from being fed back to the input side of the boost power converter. The boost inductor value reduction circuit is very small when compared with traditional filter techniques, is less costly than traditional filter techniques, and does not degrade the boost power converter control performance. It can also be used to reduce the size of the boost inductor without compromising the converter performance for use in energy efficient sensitive applications such as photovoltaic inverters.",Boost inductor valve is used in conjunction with the power converter and inverter to reduce friction in electrical output,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=393&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=8&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2008,
59,2006,2009,19-Nov-09,US 2009/0283136 A1,"Markus Münch, Michael Janker",,Solar Mounting/Rack,"12/085,918",11/30/2006,Panel Form Photovoltaic Frameless Solar Module,30 Nov 06,Individual,,unknown,(Coswig),,Germany,"The invention relates to a panel form photovoltaic frameless solar module, in particular, a large surface solar module having increased stability and strength. The aim of the invention is to produce the panel form photovoltaic solar module which is insensitive to rough climatic effects of the weather as well as effective at diffusing very high mechanical stresses in the substructure. A planar light weight reinforcement structure (5) is at least partially stuck directly to the reverse side of the material (4), for planar or curved solar modules, in the inventive panel form photovoltaic frameless solar module (1) which comprise solar cells (3), which are embedded between cover side of the material (2) and the reverse side of the material (4). Said light weight reinforcement structure (5) is embodied entirely or partially on at least two sides as a supporting frame structure (6), that is additionally reinforced. The invention can be used for commercial, panel form solar modules, in particular, for thin-walled solar module embodiments, like those produced, in particular, in glass-film-laminates.",PV frame and related devices for roof-top mounted solar cells,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090283136%22.PGNR.&OS=DN/20090283136&RS=DN/20090283136,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2006,
82,2006,2009,7 Jan 05,US 2009-0012917 A1,"Thompson; Daniel S.; (San Rafael, CA) ; Sampath; Laks; (Corte Madena, CA) ; Shevick; David; (San Rafael, CA)","THOMPSON TECHNOLOGY INDUSTRIES, INC.",complete solar system,"12/088,978",705/412; 340/657; 700/286; 700/297; 715/772,System and Method for Array and String Level Monitoring of a Grid-Connected Photovoltaic Power System,3 Oct 02,start up,privately owned,unknown,"Novato, CA",CA,USA,"A grid-connected photovoltaic electrical power system with both array level and string level remote monitoring and production and efficiency analysis capabilities. The inventive system includes an array level monitoring component, software for recording and analyzing data obtained through the array level monitoring component, and a string level monitoring component.", ,complete system with monitoring component,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=967&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=20&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),1,,no,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,complete system,,,TRUE,,,,,
