No. ,Year,Patent Issue Date,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",Firm's Services,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,Solar Finance/ Business Model,Miscellaneous
105,2011,28-Jun-11,17-Jun-10,US 2010/0149847 A1,Kent Kernahan,"Array Converter, Inc.",Solar Inverter,7969757,Apparatus providing bias to solar cells ,12-Dec-08,Start-up,Privately owned,PV inverter manufacturer,"Sunnyvale, CA",CA,USA,"Solar panels of certain technologies may experience a degradation of their efficiency as a result of exposure to sunlight, either prior to installation or during normal operation. A direct current to pulse amplitude modulated (""PAM"") current converter, denominated a ""PAMCC"", is connected to the solar panel and to a source of alternating current. The PAMCC receives direct current from the solar panel and provides pulse amplitude modulated current at its output terminals at such times that the solar panel is capable to provide current, denominated ""normal operation"". The PAMCC may be reconfigured to form a buck converter and a rectifier wherein the rectifier converts power received at the output (during normal operation) terminals to provide rectified, direct current to the buck converter. The buck converter provides direct current in the forward biased direction to the solar panel, thereby reconditioning the solar panel. Alternating current received at the output terminals of the PAMCC may be provided by an electric grid or by other means, such as other solar power converters.",Power converters are connected  directly to the DC source - PV panels,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=53&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,0,2,,"This application is related to commonly-owned U.S. patent application Ser. No. 12/061,025 submitted Apr. 2, 2008 by Kernahan et al, which application is incorporated herein in its entirety.",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://www.arraypower.com/index.html,,TRUE,FALSE,FALSE,,,
106,2011,29-Nov-11,24-Jun-10,US 2010/0157634 A1,"Dachuan Yu, Mahesh Sitaram Illindala, Osama Mohammad Alkhouli",Caterpillar Inc.,Solar Inverter; ,8068352,Power inverter control for grid-tie transition ,19-Dec-08,Established ,Publicly Traded,,"Peoria, IL",IL,USA,"A control system for a power inverter is disclosed. The power inverter may be configured to supply power to a grid. The control system may include a plurality of output voltage sensors and a plurality of output current sensors configured to measure output line voltages and output line currents of the power inverter. The control system may further include a controller coupled to the power inverter. The controller may be configured to provide a control signal associated with a disturbance frequency to the power inverter. The controller may be further configured to determine an output power of the power inverter based on the output line voltages and output line currents, and determine an amplitude of oscillation in the output power caused by the disturbance frequency. The controller may also be configured to detect an islanding condition, if the amplitude of oscillation is below a threshold. The control system may further include an interface circuit coupled to the controller and configured to disconnect the grid from the power inverter if the islanding condition is detected.",,"Inverter is part of a ""control"" system managing voltage",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=36&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,0,1,,,Patent Search,Inverter (claims) Photovoltaic (claims),,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
107,2011,25-Oct-11,4-Nov-10,US 2010/0277218 A1,Christoph Schill,Diehl AKO Stiftung & Co. KG,Solar Inverter; Solar Monitoring,8044533,Solar module and method of controlling operation of a solar module,12-Feb-08,Established ,Privately owned,"Electronic controls, energy management ",Ravensburg,,Germany,"A solar module includes a solar generator for converting incident radiation into electrical power and a solar inverter for feeding the power generated by the solar generator into a power supply system or a load. A variable bias load is connected in parallel with the solar generator and a control device, which drives the variable bias load, detects a presently available power of the solar generator as well as a present no-load loss of the solar inverter, compares the detected power of the solar generator and the detected no-load loss of the solar inverter and enables the power of the solar generator to be fed into the power supply system or the load by the solar inverter only when the detected power of the solar generator exceeds the detected no-load loss of the solar inverter. A method of controlling operation of a solar module is also provided.",Solar module includes inverter,,http://www.google.com/patents?id=Mkf5AQAAEBAJ&zoom=4&dq=%22Solar%20inverter!%22&pg=PA1#v=onepage&q=%22Solar%20inverter!%22&f=false,0,0,,,Patent Search,"""solar inverter""",Utility,,,,,TRUE,,,TRUE,FALSE,TRUE,,,
108,2011,26-Jul-11,26-Mar-09,US 2009/0079383 A1,"Martin Fornage, Mudhafar Hassan-Ali","Enphase Energy, Inc.",Solar Inverter,7986122,Method and apparatus for power conversion with maximum power point tracking,25-Sep-08,Established ,Publicly Traded,Inverter manufacturer,"Petaluma, CA",CA,USA,"An apparatus and method for converting a DC input power to a DC output power. The apparatus comprises an energy storage module and a burst mode controller. The burst mode controller causes energy to be stored in the energy storage module during at least one storage period, and further causes the energy to be drawn from the energy storage module during at least one burst period. During the at least one burst period, the DC output power is greater than the DC input power. Additionally, the burst mode controller employs a maximum power point tracking (MPPT) technique for operating a device providing the DC input power proximate a maximum power point (MPP).","MPPT is integrated in inverter, which is linked storage module and system for managing DC voltage",,http://www.google.com/patents?id=ZpnnAQAAEBAJ&zoom=4&dq=solar%20inverter&pg=PA1#v=onepage&q=solar%20inverter&f=false,1,2,,"[0001] This application claims benefit of U.S. provisional patent application Ser. No. 60/995,409, filed Sep. 26, 2007, which is herein incorporated by reference. ",Patent Search,"""solar inverter""",Utility,yes,,Yes,TRUE,,http://enphase.com/,,TRUE,FALSE,FALSE,,,
109,2011,11-Oct-11,9-Dec-12,US 2010/0309695 A1,Martin Fornage,"Enphase Energy, Inc.",Solar Inverter; ,8035257,Method and apparatus for improved burst mode during power conversion ,2-Aug-10,Established ,Publicly Traded,Inverter manufacturer,"Petaluma, CA",CA,USA,"A method and apparatus for coupling power to an AC power grid. In one embodiment, the method comprises interleaving a storage period and a burst period, wherein (i) energy is stored during the storage period for a predetermined number of grid voltage cycles, and (ii) stored energy is converted to AC power and coupled to the AC power grid during the burst period.",Inverter and PV module apparatus to increase efficiency,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=41&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,0,4,,"Related to Patent Oct., 2008 7768155; 63 Continuation of application No 12 249,533 filed on Oct 10 2008 now Pat No 7,768,155 ",Patent Search,Inverter (claims) Photovoltaic (claims),,,,Yes,TRUE,,http://enphase.com/,,TRUE,FALSE,FALSE,,,
110,2011,13-Sep-11,14-May-09,US 2009/0121549 A1,John Andrew Leonard,General Electric Company,Solar Inverter,8018748,Method and system to convert direct current (DC) to alternating current (AC) using a photovoltaic inverter ,14-Nov-07,Established ,Publicly Traded,Renewable energy systems,"Niskayuna, NY",NY,USA,"A method to convert direct current (DC) power generated by a photovoltaic (PV) arrays to alternating current (AC) power using a PV inverter, the method includes: applying the DC power generated the PV array to the PV inverter; boosting the DC power from the PV array from a predetermined voltage level to a predetermine DC link voltage, wherein the PV array is regulated by the boosting to output a voltage at the predetermined voltage level; converting the boosted DC power to AC power, and disabling the boost of the power generated by the PV array after the array has a predetermined voltage level at least as great as the DC link voltage.",Inverter includes power booster to manage voltage for maximum efficiency in power conversion,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=45&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,1,3,,,Patent Search,Inverter (claims) Photovoltaic (claims),,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
111,2011,19-Apr-11,3-Dec-09,US 2009/0296434 A1,"Michael Andrew de Rooij, John Stanley Glaser",General Electric Company,Solar Inverter,7929325,"High efficiency, multi-source photovoltaic inverter ",27-May-08,Established ,Publicly Traded,Renewable energy systems,"Niskayuna, NY",NY,USA,A photovoltaic (PV) inverter system operates continuously in a buck converter mode to generate a sum of full wave rectified sine wave currents at a current node common to a plurality of buck converters in response to a plurality of full wave rectified sine wave currents generated via the plurality of buck converters. The PV inverter system increases the level of the voltage sourcing each buck converter when a corresponding DC power source voltage is lower than the instantaneous voltage of a utility grid connected to the PV inverter system.,Inverters are arranged to  operate continuously and raise the voltage level to meet grid demands,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=59&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,0,0,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
112,2011,20-Sep-11,31-Dec-09,US 2009/0323379 A1,"Michael Andrew de Rooij, John Stanley Glaser, Robert Louis Steigerwald",General Electric Company,Solar Inverter,8023297,High efficiency photovoltaic inverter ,27-Jun-08,Established ,Publicly Traded,Renewable energy systems,"Niskayuna, NY",NY,USA,"A photovoltaic (PV) inverter includes a single DC to AC converter configured to operate solely in a buck mode for PV array voltage levels greater than a connected power grid instantaneous voltage plus converter margin, and further configured to operate solely in a boost mode for PV array voltage levels plus margin less than the connected power grid instantaneous voltage, such that the PV inverter generates a rectified sine wave current in response to the available PV array power, and further such that the PV inverter generates a utility grid current in response to the rectified sine wave current.",Inverter is configured to handle various voltage loads in different ways,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=43&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,0,0,,,Patent Search,Inverter (claims) Photovoltaic (claims),,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
113,2011,2-Aug-11,3-Jun-10,US 2010/0138061 A1,"Reigh Allen Walling, Mark Edward Cardinal, Robert William Delmerico, Nicholas Wright Miller",General Electric Company,Solar Inverter; Solar Monitoring,7990743,System and method for decreasing solar collector system losses ,20-Oct-09,Established ,Publicly Traded,Renewable energy systems,"Schenectady, NY",NY,USA,A solar farm system is provided that is configured for reducing electrical loss. The solar farm system includes a plurality of PV arrays coupled to inverters and a collector system including a conductor or network of conductors. The collector system also includes a plurality of transformers with one or more transformers connected between the inverters and the conductors. The solar farm also includes a substation transformer connecting the solar farm collector system to the electrical grid. The solar farm includes a control system configured to determine at least one operating parameter for the solar farm system to reduce electrical loss and to regulate the collector system and the plurality of inverters based at least in part on the at least one operating parameter.,,inverter arrangements are part of overall system to reduce PV power losses,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=50&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,0,1,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,TRUE,FALSE,TRUE,,,
114,2011,27-Dec-11,28-Apr-11,US 2011/0096579 A1,"Anthony Michael Klodowski, David Smith, Robert Gregory Wagoner, Sidney Allen Barker",General Electric Company,Solar Inverter,8085564,DC bus voltage control for two stage solar converter,30-Nov-10,Established ,Publicly Traded,Renewable energy systems,"Schenectady, NY",NY,USA,"Systems, methods, and apparatus for supplying AC power to an AC power grid from a DC power source, such as a photovoltaic (PV) array are disclosed. The systems and methods can include a converter coupled to the DC power source that provides DC power to a DC bus at a DC bus voltage. The systems and methods can further include an inverter coupled to the DC bus for converting the DC power of the DC bus to an output AC power. The systems and methods can further include a control system configured to regulate the DC bus voltage of the DC bus to operate at a variable DC bus voltage set point. The control system can adjust the DC bus voltage set point based at least in part on the DC bus voltage and the output AC current of the inverter.",,Method for converting DC power; ,http://www.google.com/patents?id=wi4AAgAAEBAJ&zoom=4&dq=solar%20inverter&pg=PA1#v=onepage&q=solar%20inverter&f=false,0,0,,,Patent Search,"""solar inverter""",Utility,Yes,,,TRUE,,,,TRUE,FALSE,FALSE,,,
115,2011,15-Mar-11,10-Jun-10,US 2010/0146087 A1,"Vivek Kumar, Hemanth Kumar Anjanappa, Chery Jose, Vinish Puravankara",General Electric Company,Solar Mounting/Rack; ,7908348,Dynamic installation and uninstallation system of renewable energy farm hardware,30-Nov-09,Established ,Publicly Traded,Renewable energy systems,"Schenectady, NY",NY,USA,"A system for dynamic installation or uninstallation of a plurality of hardware components of a renewable energy software system, including a reviser including a hardware configuration database, at least one communication device that allows the plurality of hardware components to communicate with the hardware configuration database containing hardware configuration data for the plurality of hardware components, and a plurality of real time objects in the renewable energy software system that represent the plurality of hardware components, wherein the plurality of real time objects are automatically updated by the hardware configuration database at runtime.",,Inverter is part of a system of remotely updating and installing PV hardware,http://www.google.com/patents?id=D8lQAQAAEBAJ&zoom=4&dq=%22solar%20inverter%22&pg=PA1#v=onepage&q=%22solar%20inverter%22&f=false,1,0,,,Patent Search,"""solar inverter""",Utility,,,,,TRUE,,,FALSE,TRUE,FALSE,,,
116,2011,20-Sep-11,3-Dec-09,US 2009/0296348 A1,"Miles Clayton Russell, Gregory Allen Kern, Ruel Davenport Little, Zachary Adam King",GreenRay Inc. ,Solar Inverter,8023266,AC photovoltaic module and inverter assembly,19-May-09,Start-up,Privately owned,Pre-packaged Solar Arrays,"Westford, MA",MA,USA,"An AC photovoltaic module includes a DC photovoltaic module for converting solar energy to DC electrical power, and an inverter for converting DC electrical power to AC electrical power, the inverter being adapted for connection to a frame portion of the module and being sized and configured, and provided with arrangements of electrical components thereof, to dispense heat from the inverter, whereby to prolong operational life and reliability of the inverter.",Inverter is integrated into Module,,http://www.google.com/patents?id=LjDwAQAAEBAJ&zoom=4&dq=solar%20inverter&pg=PA1#v=onepage&q=solar%20inverter&f=false,0,8,,,Patent Search,"""solar inverter""",Utility,yes,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
117,2011,5-Jul-11,17-Dec-09,US 2009/0310286 A1,Landon Miller,International Business Machines Corporation,Solar Mounting/Rack  (for monitoring systems),7974079,Integrated mounting system for communication and surveillance infrastructures,17-Jun-08,Established ,Publicly Traded,IT Services and systems integration,"Armonk, NY",NY,USA,"An integrated mounting system for communication and surveillance infrastructures includes a gantry, a system cabinet, and an interconnecting conduit. The gantry includes a frame configured for housing functional devices (e.g., antennas, video cameras, sensors, photovoltaic panels, and the like) and supporting posts. The system cabinet contains electronic equipment of the functional devices and provides connectivity to land data networks and external sources of power. The system may be installed on a trailer and include autonomous sources of power.",,Mounting system to put communications or monitoring equipment on PV array,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=46&f=G&l=50&co1=AND&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/mounting+AND+ACLM,0,0,,"This application relates to commonly assigned U.S. patent application Ser. No. 12/140,897, filed concurrently herewith and titled ""Integrated Mounting System For Communication And Surveillance Infrastructures."" The contents of which is incorporated herein by reference in its entirety.",Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,
118,2011,15-Nov-11,19-Aug-10,US 2010/0207455 A1,"Robert W. Erickson, Jr., Steven Croft, Shawn Everson, Aaron Schultz",MiaSole,Solar Inverter,8058752,Thin-film photovoltaic power element with integrated low-profile high-efficiency DC-DC converter ,13-Feb-09,Start-up,Privately owned,Thin-film solarpanel maker,"Santa Clara, CA",CA,USA,A photovoltaic device includes at least one photovoltaic cell and a DC/DC converter electrically coupled to the at least one photovoltaic cell. The at least one photovoltaic cell and the DC/DC converter are integrated into a photovoltaic package.,Inverter is coupled to at least one solar module,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=8058752.PN.&OS=PN/8058752&RS=PN/8058752,1,0,,,Application Search,Inverter (claims) Photovoltaic (claims),,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
119,2011,26-Apr-11,6-May-10,US 2010/0112851 A1,Stefan Giefers,Phoenix Contact GmbH & Co. KG,Solar Mounting/Rack; (Junction Box),7931488,Connection and junction box for a solar module,2-Apr-08,Established ,,Electrical connection materials prodcuer,Blomberg,,Germany,"A connection and junction box for a photovoltaic solar module having flexible flat conductor band protruding from the surface of the solar module, wherein the connection and junction box has an insertion mouth at its side facing the solar module in mounted state, for at least one flexible flat conductor band of the solar module, and comprises a housing for attaching on the solar module, and a connection device for the flexible flat conductor band, positioned in the housing, the connection device has an electrical contact clamp, which is closed when putting the box on the solar module, and thereby catches and contacts the flat conductor band.",method of making and installing electrical conduit automatically in PV modules,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=52&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/p,0,1,,,Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,
120,2011,11-Oct-11,10-Jun-10,US 2010/0139760 A1,Stefan Giefers,Phoenix Contact GmbH & Co. KG,Solar Mounting/Rack; (Junction Box),8033859,Connection and junction box for a solar module,4-Feb-08,Established ,,Electrical connection materials prodcuer,Blomberg,,Germany,"The invention relates to a connection and junction box (1) for a photovoltaic solar module (24), which box in a mounting state, is put on the solar module (24) with open contact clamp(s) (22), and the contact clamps are actively closed for contacting the flexible flat conductor band(s) (28). Preferably, the actuating the contact clamp(s) (22) is automatically carried out by means of a device between two housing parts (2, 50), when putting on.",,device and method for attaching junction box to PV modules on a mount,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=39&f=G&l=50&co1=AND&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/mounting+AND+ACLM,0,1,,,Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,
121,2011,31-May-11,9-Apr-09,US 2009/0091956 A1,"Danio Nocentini, Sauro Macerini, Nicola Femia, Massimo Vitelli, Giovanni Spagnuolo, Giovanni Petrone, Filippo De Rosa, Antonio Sirianni",Power-One Italy S.p.A,Solar Inverter' Solar Monitoring,7952897,System for producing electric power from renewable sources and a control method thereof ,22-Dec-05,Established ,Publicly Traded,Global Inverter manufacturer,Arezzo,,Italy,"Described herein is a system for generating electric power, comprising: an electric-power source (1) having a preferential point of operation; a double-stage inverter (3A, 3B), which transfers the energy from said source to an external a.c.-voltage electrical network (9); a block (5) for identification of the preferential point of operation, which supplies a reference signal according to the conditions of operation of the electric-power source and to the preferential point of operation of said source; a corrector block (10), provided for setting the parameter for control of the boost converter (3A) of the double-stage inverter (3A, 3B) as a function of the reference signal and of a signal of actual operation of said electric-power source, and for maintaining the source in the proximity of the preferential point of operation.",,PV system includes double-stage inverter,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=57&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,3,0,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://www.power-one.com/,,TRUE,FALSE,TRUE,,,
122,2011,14-Jun-11,13-May-10,US 2010/0117623 A1,"John M. Fife, Michael A. Mills-Price, Steven G. Hummel","PV Powered, Inc.",Solar Inverter; Solar Monitoring,7960863,System and method of determining maximum power point tracking for a solar power inverter ,11-Nov-09,Start-up,Privately owned,Inverter design and manufacturer,"Bend, OR",OR,USA,"A system and method for operating a photovoltaic element at or near a maximum power point. A maximum power point tracker changes a voltage or current set point of a photovoltaic element in sequential discrete steps, measuring an output power at each step after a predetermined settling time. A slope of a power-voltage curve is then estimated and the slope is corrected for irradiance changes. Finally, an operating voltage or current of the photovoltaic element is adjusted based on the slope of the power-voltage curve and other factors, causing the photovoltaic element to operate at or near its maximum power.",MPPT for inverter,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=55&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,5,0,,"[0001] This application claims the benefit of U.S. Provisional Patent Application No. 61/113,555, filed on Nov. 11, 2008, and which is incorporated herein by reference.",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://solarenergy.advanced-energy.com/,,TRUE,FALSE,TRUE,,,
123,2011,15-Mar-11,29-May-08,US 2008/0122293 A1,Dal Y Ohm,"PV Powered, Inc.",Solar Inverter,7906870,"System and method for anti-islanding, such as anti-islanding for a grid-connected photovoltaic inverter ",15-Oct-07,Start-up,Privately owned,Inverter design and manufacturer,"Bend, OR",OR,USA,"A system and method for detecting islanding in a Distributed Generation utility grid is described. In some examples, the system, via an inverter, injects a frequency disturbance to a location of the utility grid associated with a DG generator, measures both the frequency error due to the disturbance and the frequency drift of the location of the utility grid, and determines islanding based on a maximum value of the frequencies. In some cases, the system is able to reduce or minimize the Non-Detection Zone of the inverter by detecting islanding without always relying on a detectable frequency error due to an injected waveform.",Inverter is configured to detect isolated networks in grid. ,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=61&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,0,7,,"60851640 Oct., 2006",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,http://solarenergy.advanced-energy.com/,Acquired by AE in 2010,TRUE,FALSE,FALSE,,,
124,2011,10-May-11,24-Dec-09,US 2009/0316452 A1,"Jin Wook Kim, Sung Soo Hong, Chung Wook Roh, Sang Kyoo Han, Jong Sun Kim, Jae Sun Won, Dong Seong Oh, Dea Min Jang, Jong Hae Kim","Samsung Electro-Mechanics Co., Ltd.",Solar Inverter,7940032,Power supply having maximum power point tracking function ,31-Oct-08,Established ,Publicly Traded,Electronics manufacturer,"Gyunggi-do, Korea",,Korea,"A power supply having a maximum power point tracking function that controls power switching so that a detected power value is within a reference range having a maximum power point in a predetermined current-voltage curve includes: a converter section switching input power and converting the switched input power into predetermined DC power; and a maximum power point tracking section detecting a power value determined according to a switching operation of the converter section among power values included in a predetermined power-voltage curve, and controlling the switching operation of the converter section so that the detected power value is located within a predetermined reference range having a maximum power value among the power values included in the power-voltage curve.",Inverter has MMPT integrated,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=58&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,0,0,,"[0001] This application claims the priority of Korean Patent Application No. 2008-0059456 filed on Jun. 24, 2008, in the Korean Intellectual Property Office, the disclosure of which is incorporated herein by reference.",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
125,2011,1-Mar-11,2-Sep-10,US 2010/0220733 A1,"Mats Eklund, Franz Hackl, Franz Reithmayer, Walter Strobl",Siemens AG,Solar Inverter,7899035,Communication structure for solar inverters,14-Nov-06,Established ,Publicly Traded,Energy division produces distributed electrical generation,"Vienna, Austria - Siemens NJ office",,Austria,"There is described a communication structure for at least two solar inverters, having a transmission medium by means of which each of the at least two solar inverters is connected to a communication network with a first group of the solar inverters each being connected via an LAN interface to the communication network, and with a further group of the solar inverters being connected to the first group via serial interfaces. Two different network types are therefore provided with the first being suitable for standard LAN technologies with rapid data transmission over short distances, and with the second being suitable for interference-insensitive data transmission over long distances.",System or multiple inverters to communicate,,http://www.google.com/patents?id=yA8dAQAAEBAJ&zoom=4&dq=%22Solar%20inverter!%22&pg=PA1#v=onepage&q=%22Solar%20inverter!%22&f=false,4,0,,,Patent Search,"""solar inverter""",Utility,,,,,TRUE,http://www.energy.siemens.com/hq/en/automation/power-transmission-distribution/network-communication/,,TRUE,FALSE,FALSE,,,
