No. ,Year,Patent Issue Date,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Classification Numbers,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",Firm's Services,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations Granted Patent (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,SUBGROUP Inverter-Monitoring,Miscellaneous,Filing Year,Filing Date
167,2010,2010,2-Dec-10,US 2010/0302731 A1,"Michael A. Belikoff, Thomas Kuster, Christopher Thompson",,Solar Inverter,"12/722,027",3/11/2010,Inverter Cooler,11-Mar-10,,,Commercialization group at Queens College Canada,"(Mendham, NJ)",NJ,USA,A DC to AC inverter used in a solar cell power system can include an improved structure for cooling itself and increasing power output.,Inverter cooling system; innovation in the inverter,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=259&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=6&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,"[0001] This application claims priority under 35 U.S.C. .sctn.119(e) to Provisional U.S. Patent Application Ser. No. 61/178,802 filed on May 15, 2009, which is hereby incorporated by reference.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2010,
284,2010,2011,24-Feb-11,US 2011/0044083 A1,Christopher Thompson,,Solar Inverter,"12/722,096",3/11/2010,Adaptive Photovoltaic Inverter,11 Mar 10,,,,"(Narragansett, RI)",RI,USA,A DC to AC inverter unit used in a solar cell power system can include a controller capable of adjusting the inverter's minimal operating voltage to increase the inverter unit power capacity.,Inverter configuration to management voltage input and output,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=227&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=5&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,"[0001] This application claims priority under 35 U.S.C. .sctn.119(e) to Provisional U.S. Patent Application Ser. No. 61/235,526 filed on Aug. 20, 2009, which is hereby incorporated by reference.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2010,
285,2010,2011,15-Sep-11,US 2011/0222327 A1,Christopher Thompson,,Solar Inverter,"12/722,129",3/11/2010,Photovoltaic Inverter Power System,11 Mar 10,,,,"(Narragansett, RI)",RI,USA,A photovoltaic system may include a DC to AC inverter including a minimum operating power setting and a microprocessor for calculating a maximum available power output for a photovoltaic array.,,power management in solar inverters,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=152&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=4&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2010,
286,2010,2011,15-Sep-11,US 2011/0222242 A1,Christopher Thompson,,Solar Inverter,"12/722,181",3/11/2010,Photovoltaic Inverter,11 Mar 10,,,Established ,"(Narragansett, RI)",RI,USA,A DC to AC inverter used in a solar cell power system can include an improved control scheme for cooling itself and optimizing power output.,,cooling system for solar inverters,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=153&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=4&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2010,
86,2010,2010,16-Sep-10,US 2010/0229367 A1,Scott Franklin,Clean Energy Solutions Inc.,Solar Mounting/Rack,"12/723,476",3/12/2010,SYSTEM AND METHOD FOR MOUNTING PHOTOVOLTAIC PANELS,12 Mar 10,Start-up,Privately owned,Renewable energy systems,"Boulder, CA",USA,USA,"A system for securing photovoltaic panel modules to a support structure includes a first elongate member securable to the support structure. The first elongate member includes a plurality of first mounting sites positionally fixed thereon. A second elongate member is securable to the support structure. The second elongate member includes a plurality of second mounting sites positionally fixed thereon. The second elongate member is spaced from the first elongate member and aligned therewith in a generally parallel orientation. The position of the first and second elongate members is adjustable to align the first and second fixed mounting sites in a predetermined configuration. When the first and second elongate members are aligned in the predetermined configuration, the plurality of first mounting sites and second mounting sites are brought into alignment with each other to permit mounting of a plurality of panel modules to the first and second elongate members.",Mounting racks for PV panels,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100229367%22.PGNR.&OS=DN/20100229367&RS=DN/20100229367,0,0,,"[0001] The present application claims the benefit of priority to U.S. Provisional Application Nos. 61/159,677 filed Mar. 12, 2009 and 61/254,974 filed Oct. 26, 2009, and both applications are hereby incorporated by reference herein in their entirety for all purposes.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2010,
288,2010,2011,29-Sep-11,US 2011/0232714 A1,"VIJAY BHAVARAJU, Richard P. Peplinski, Anish Prasai",,Solar Inverter,"12/729,304",3/23/2010,"POWER CONVERSION SYSTEM AND METHOD PROVIDING MAXIMUM EFFICIENCY OF POWER CONVERSION FOR A PHOTOVOLTAIC SYSTEM, AND PHOTOVOLTAIC SYSTEM EMPLOYING A PHOTOVOLTAIC ARRAY AND AN ENERGY STORAGE DEVICE ",23 Mar 10,,,,"(Germantown, WI)",WI,USA ,"A power conversion system includes a number of photovoltaic arrays, a number of inverters, a transformer, and processor. The processor is structured to control the number of inverters and operate the power conversion system to provide maximum efficiency of power conversion by the number of photovoltaic arrays, the number of inverters and the transformer, and to maximize power output from the number of photovoltaic arrays.",Arrangement and devices to maximize Inverter operation,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=148&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2010,
54,2010,2010,22 Sep 06,US 2010/0241375 A1 ,"Sudesh Kumar, PramodKumar Maganlal Patel, DilipKumar Khana Bhana",Solar Simplified LLC,Solar Monitoring,"12/730,012",702/62,"Smart Device for Enabling Real-time Monitoring, Measuring, Managing and Reporting of Energy by Solar Panels and Method Therefore ",22 Mar 06,Start-up,Privately Owned,Power Management integrated circuits maker,"San Diego, CA",CA,USA,"A solar panel monitoring device and method is disclosed. The solar panel monitoring smart device comprises at least one power source or input; at least one sensor connected to the input, where the at least one sensor is adapted to responsively generate monitoring information on the input with which it is associated; a processor for receiving the monitoring information regarding the input from each of the sensors, and adapted to forward the received monitoring information; and a transmission chip for receiving the monitoring information, packetizing the monitoring information, and transmitting to a remote location. ",Power system monitoring,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=626&p=13&f=G&l=50&d=PG01&S1=%28%28solar.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29+OR+%28photovoltaic.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29%29&OS=+%28aclm/solar+and+%28aclm/monitor+or+aclm/monitoring%29%29+or+%28aclm/photovoltaic+and+%28aclm/monitor+or+aclm/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,,0,,,Patent Search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Utility,,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Yes,TRUE,,,,,,TRUE,,,,,
205,2010,2011,29 Sep 11,US 2011/0232715 A1,"Carl J.S. Lenox, Doug Rose, Michael Knuepfel",SunPower Corporation,Solar Mounting/Rack; ,"12/732,649",3/26/2010,MINIMALLY PENETRATING PHOTOVOLTAIC ASSEMBLY FOR USE WITH A SLOPED ROOF AND RELATED METHODS ,26 Mar 10,Established ,Publicly Traded,Inverter manufacturer,"San Jose, CA",CA,USA,"An assembly which is lightweight includes an interconnected array of PV modules, where each PV modules is defined in part by a module outer perimeter portion. This array is defined in part by an outer perimeter portion including an upper edge portion, side edge portions, and a lower edge portion. The array is secured to a sloped roof along at least one of the upper or lower edge portion of the array. The assembly further includes interlocking features along the module outer perimeter portion which distribute uplift forces to adjacent PV modules. Additionally included is at least one wind deflector located along the lower edge of the array and non-penetrating base feet disposed on the sloped roof supporting at least a portion of the array.",Interlocking frames for PV cells to avoid multiple punctures in roof installations,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110232715%22.PGNR.&OS=DN/20110232715&RS=DN/20110232715,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2010,
168,2010,2010,19-Aug-10,US 2010/0207764 A1,"Thomas Mühlberger, Roland Prötsch",,Solar Inverter; Solar Monitoring,"12/733,391",2/26/2010,METHOD FOR THEFT RECOGNITION ON A PHOTOVOLTAIC UNIT AND INVERTER FOR A PHOTOVOLTAIC UNIT ,26-Feb-10,,,,(Marchtrenk),,Austria,"The invention relates to a method for recognition of the theft of at least one solar module (5) on a photovoltaic unit with an inverter (1) an intermediate circuit (3), a DC-AC converter (4), at least one solar module (5) connected via connector lines (19) and a control device (8). A signal unit (19) which can be connected to the connector lines (9, 10), for generating and transmitting an electrical signal and a device for measuring and analyzing the signal received from the at least one solar module (5) are provided such that conclusions can be drawn about the theft of a solar module (5) from the received signal. According to the invention, reliable recognition of theft of a solar module (5) can be achieved by designing the signal unit (19) for generating varying electrical signals.",Anti-theft device is integrated with the inverter,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=299&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=6&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,TRUE,,TRUE,,2010,
43,2009,2011,23 Mar 07,US 2011/0068817 A1,"Toru Hashimoto, Yoshimasa Togawa, Tomoaki Ito, Yuji Nakanishi",NPC Incorporated,Solar Monitoring,"12/736,943 ",324/761.01; 136/252, Solar Cell Output Characteristic Evaluation Apparatus and Solar Cell Output Characteristic Evaluation Method,23 Nov 06,Established,Publicly Traded,,Tokyo,N/A,Japan,"[Object] To provide a solar cell output characteristic evaluation apparatus and a method thereof capable of accurately measuring an open-circuit voltage Voc by applying a forward bias current with a minimum power consumption without requiring a bipolar power supply discharging a large current causing a cost increase. [Organization] A solar cell output characteristic evaluation apparatus measuring output characteristic of a solar cell, including: a solar cell; a voltmeter measuring a voltage of the solar cell; an ammeter measuring a current value flowing in the solar cell; a variable resistor part connected to the solar cell; a forward bias circuit connected to the solar cell; and a reverse bias circuit connected to the solar cell is provided. ",Power system monitoring,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=501&p=11&f=G&l=50&d=PG01&S1=%28%28solar.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29+OR+%28photovoltaic.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29%29&OS=+%28aclm/solar+and+%28aclm/monitor+or+aclm/monitoring%29%29+or+%28aclm/photovoltaic+and+%28aclm/monitor+or+aclm/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,,0,,,Patent Search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Utility,,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Yes,TRUE,,,,,,TRUE,,,,,
96,2008,2010,23-Dec-10,US 2010/0320837 A1,Craig William Harrison,RENERGY PTY LIMITED,Solar Mounting/Rack,"12/742,421",10/17/2008,ELECTRICAL ENERGY AND DISTRIBUTION SYSTEM,17 Oct 08,,,,Tomago,,Australia,"This invention concerns an electrical energy supply and distribution system. The system is able to handle both large centralised electricity generation plants, as well secondary energy sources which are becoming increasingly important. These sources may or may not be connected to deliver electrical energy to a 50 Hz AC power distribution grid. The system comprises a supply side where multiple electrical energy generators are connected via connections ports, involving conditioning circuitry, into a single DC electrical energy source. This energy source may be supplied to a common inverter system to convert it to AC for transmission on over a power grid. A rectifier may take the AC power from the grid and delivers it to loads. Whether an AC grid in involved or not, on the delivery side energy is delivered to multiple loads via connection ports involving conditioning circuitry. Any of the generators or loads may be taken offline or connected back into the system at will.",,Inverter circuitry is part of a broader system to generate high-voltage DC power,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=254&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=6&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2008,
317,2008,2012,15 Mar 12,US 2012/0060919 A1,"Brian Wade Mills, Robert D. Street, Danny Cam Toan Lu, Yacov Elgar, Ian Worthington Weatherley, Dustin Delmar Reede Carver, Jeffrey S. Sullivan, Ian McKay Pratt","MULTI-HOLDING AG, APPLIED MATERIALS, INC.",Solar Mounting/Rack,"12/742,554",10/30/2008,JUNCTION BOX FOR A PHOTOVOLTAIC SOLAR PANEL,30 Oct 08,Established,Publicly Traded,,Santa Clara,CA,USA,"A junction box for a solar panel comprises a housing, a lid, a first connector and a second connector. The housing comprises sidewalls and a top wall defining an interior space. The first coupling comprises a first contact element and the second coupling comprises a second contact element. Said contact elements penetrate at least one of the sidewalls, so that the contact elements provide an electrical contact from external contact elements to internal contact elements, such as solder tails. Internal contact elements are arranged at least partially in said interior space. The top wall comprises an opening extending only partially in said top wall. Said opening is located such in the top wall that access to said solder tails in a substantially perpendicular direction to the surface of a solar panel for connecting the solder tail to the solar panel is provided.",,Junction box for PV panels,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=64&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2008,
277,2007,2011,27-Jan-11,US 2011/0019453 A1,"Roberto Gonzalez Senosiain, Javier Coloma Calahorra, Luis Marroyo Palomo",,Solar Inverter,12/745345,11/30/2007,ELECTRIC CIRCUIT FOR CONVERTING DIRECT CURRENT INTO ALTERNATING CURRENT,30-Nov-07,,,Renewable energy provider,(Sarriguren (Navarra),,Spain,"The invention relates to a DC/AC conversion structure, preferably intended for photovoltaic systems, having a high yield across the entire input voltage range thereof, thereby guaranteeing that direct current is not injected into the alternating current network. In a preferred embodiment, the circuit includes six switching elements (T1 to T6) controlled by a command unit. In addition, the circuit includes a capacitive divider (C4 and C5) having the negative of the photovoltaic field connected to one of the ends thereof and a network terminal connected at the mid-point of same, which minimises problems of electromagnetic compatibility.",Method for single phase inverter to convert DC to AC,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=240&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=5&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,0,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2007,
149,2010,2010,9-Sep-10,US 2010/0220508 A1,Marco Oesterlein,KOSTAL INDUSTRIE ELEKTRIK GMBH,Solar Inverter,"12/757,166",4/9/2010,Photovoltaic Inverter with Option for Switching Between a Power Supply System with a Fixed Frequency and a Load Variable Frequency ,9-Apr-10,Established,Privately owned,,Ludenscheid,,Germany,"A photovoltaic inverter having an inverter bridge section, a first output, a second output, and a power switch. The inverter bridge section is operable for converting DC electrical energy into AC electrical energy. The inverter bridge section has an output for outputting the AC electrical energy. The power switch is connected to the output of the inverter bridge section, the first output, and the second output. The power switch is selectively switchable between a first state in which the output of the inverter bridge section is connected to the first output via the power switch and a second state in which the output of the inverter bridge section is connected to the second output via the power switch.",Inverter contains an inverter bridge to bolster DC to AC output,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=292&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=6&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,"[0001] This application is a continuation-in-part of International Application No. PCT/EP2008/064687, published in German, with an international filing date of Oct. 29, 2008, which claims priority to DE 10 2007 052 301.9, filed Oct. 31, 2007; the disclosures of which are both hereby incorporated by reference.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2010,
129,2010,2010,14 Oct 10,US 2010/0259105 A1,"Manfred Schaarschmidt, Bernd Kosch",,Solar Mounting/Rack (Junction box),"12/757,686",4/9/2010,"Connecting device for a photovoltaic solar module, method for the production thereof and solar installation with such a connecting device ",9 Apr 10,,,Unknown,(Lautertal),Germany,Germany,"A connecting device for connection to an electrical connection system of a photovoltaic solar module. The connecting device having a connector housing, at least one current-carrying component, and a plurality of diode bodies. The connector housing is positionable on the solar module, with at least one current-carrying component located in the connector housing. The plurality of diode bodies connect together with each other into a diode chain. The diode chain connects with at least one current-carrying component, and includes at least a first and second diode body, each being connected with a common diode lead.","Innovation is around junction box or ""eletrical connecting device"" that is mounted to solar pv system",,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100259105%22.PGNR.&OS=DN/20100259105&RS=DN/20100259105,0,0,,"[0001] This application claims the benefit of the filing date under 35 U.S.C. .sctn. 119(a)-(d) of German Patent Application No. DE 102009017052.9 of Apr. 9, 2009.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2010,
52,2010,2010,13 Oct 06,US 2010/0259225 A1,"Ross E. Teggatz, Wayne T. Chen, Brett Smith",Triune IP LLC,Solar Monitoring,"12/757,989 ",320/138,Adaptive Power Control for Energy Harvesting ,9 Apr 06,Start-up,Privately Owned,PV systems maker,"Richardson, TX",TX,USA,Advances in the arts are disclosed with novel methods and circuit systems for controlling power in an energy harvesting system. Techniques and related systems for controlling power output of an energy harvesting device provide for monitoring at least one power parameter at a power source and monitoring at least one power parameter at a load such as a storage medium. The power source output is adjusted in order to optimize energy harvesting and/or storage based on real-time performance parameters. ,Power system monitoring,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=612&p=13&f=G&l=50&d=PG01&S1=%28%28solar.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29+OR+%28photovoltaic.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29%29&OS=+%28aclm/solar+and+%28aclm/monitor+or+aclm/monitoring%29%29+or+%28aclm/photovoltaic+and+%28aclm/monitor+or+aclm/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,,0,,,Patent Search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Utility,,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Yes,TRUE,,,,,,TRUE,,,,,
289,2010,2011,1-Sep-11,US 2011/0211290 A1,John M. Fife,,Solar Inverter,"12/759,652",4/13/2010,"SOLAR POWER INVERTERS, INCLUDING SOLAR POWER INVERTERS HAVING SURGE PROTECTIVE DEVICES, AND ASSOCIATED METHODS ",13 Apr 10,,,,"Bend, OR",OR,USA,"In one embodiment, a solar power inverter includes at least one component associated with conversion of direct current (DC) from one or more photovoltaic cells to alternating current (AC). The component is electrically coupleable to an electrical conductor configured to carry electrical current. The solar power inverter also includes a first surge protective device (SPD) electrically coupled to the component and electrically coupleable to the electrical conductor. The solar power inverter also includes a second SPD electrically coupled in parallel with the first SPD and electrically coupleable to the electrical conductor. As described in more detail herein, the first SPD is configured to actuate in response to a voltage surge on the electrical conductor before the second SPD.",Surge protection for inverters,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=160&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=4&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,"[0001] This application claims the benefit of U.S. Provisional Patent Application No. 61/308,852, which is incorporated herein by reference in its entirety.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2010,
159,2010,2010,4-Nov-10,US 2010/0275991 A1,Palvin Chee Leong Chan,"WUXI SUNTECH POWER CO., LTD.",Solar Mounting/Rack; Solar Inverter,"12/768,637",4/27/2010,"Photovoltaic System, a Terminal Box Thereof and a Voltage Converting Device",27-Apr-10,,,PV module manufacturer,Wuxi,,China,"A photovoltaic system, a terminal box and a voltage converting device thereof is provided. The terminal box and the voltage converting device have a connector plug or a connector socket, wherein said connector plug and connector socket are electrically connected by plugging. The photovoltaic system comprises a solar module, the terminal box and the voltage converting device, the terminal box and the voltage converting device being electrically connected by plugging the connector plug and connector socket, and the converting device being fixed to the solar module through a support member. With this photovoltaic system, the installation manner, which is free from conducting wires, is convenient, reliable and cost-effective.",,Inverter is part of solar panel and terminal devices that are connected and easier to install,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=272&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=6&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,"[0001] This application claims priority to foreign Patent Application CN 200910137271.0, filed on Apr. 29, 2009, the disclosure of which is incorporated herein by reference in its entirety.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,TRUE,FALSE,,,,2010,
83,2010,2010,4-Nov-10,US 2010/0276558 A1,"Aaron Faust, John Henry Harberts, John Edward Klinkman, Ronald Paul Katt, David Wayne Raffler",Applied Energy Technologies,Solar Mounting/Rack,"12/771,079",4/30/2010,MOUNTING SYSTEMS FOR SOLAR PANELS,30-Apr-10,Start-up,Privately owned,,"Saline, MI",MI,USA,"Mounting systems for mounting solar panels to a surface are disclosed and can include panel clamp assemblies and rail clamp assemblies. Panel clamp assemblies can comprise a panel clamp having a base and arms extending from edges of the base, the base having an aperture, a rail clamp having a central portion with an aperture and two flexible tabs extending from the central portion on opposing sides of the aperture and a fastener threaded through the apertures such that that flexible tabs contact a head of the fastener and the arms extend in an opposite direction from the flexible tabs. Rail clamp assemblies can comprise a base member having a bottom and two side walls, the bottom having at least one aperture and each side wall having an elongated aperture, two clamping members and a fastener, wherein the side walls of the base member are positioned such that the opening is of sufficient size to receive the rail.",Mounting components that have clamps to connect to rails,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100276558%22.PGNR.&OS=DN/20100276558&RS=DN/20100276558,0,1,,"[0001] This application claims priority to U.S. Provisional Patent Application No. 61/174,505, filed May 1, 2009, the entire contents of which is incorporated herein by reference.",Application ,"""Mounting""(title) and ""Solar"" (title)",Utility,,,Yes,TRUE,,http://aetenergy.com/about-aet/,"Owned by The Applied Group, which  began life as Applied Technologies Holdings, Inc. in December 2004.",FALSE,TRUE,FALSE,,,,2010,
