No. ,Year,Patent Issue Date,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Classification Numbers,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",Firm's Services,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations Granted Patent (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,SUBGROUP Inverter-Monitoring,Miscellaneous,Filing Year,Filing Date
53,2011,11 Apr 07,16 Sep 05,US 2009-0234757 A1,"Tarbell; Ben (Palo Alto, CA), Rive; Peter (San Francisco, CA), Cooper; Chebar Ivan (Berkeley, CA), Poklemba; Roland (Fremont, CA), Ho; Nelson David (Fremont, CA)",SolarCity Corporation,Solar Monitoring,7925552,705/30 ; 340/870.01; 702/188,RENEWABLE ENERGY SYSTEM MONITOR ,12 Mar 04,start up,privately owned,Integrated micro-inverter manufacturer,"Foster City, CA",CA,USA,"Embodiments of the present invention include a renewable energy system monitor. In one embodiment, information is received in a server from solar power stations across a network. The information includes operational data for each solar power station identified by a particular power station identification (ID). The information is stored in a database and grouped data groups corresponding different solar power stations. Data groups are processed using different models associated with different power stations to control the different power stations. Software or parameters may be sent to different devices in the different power stations to control the power stations.",power monitoring,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=167&f=G&l=50&d=PTXT&s1=(((solar.CLTX.+or+solar.DCTX.)+AND+((monitor.CLTX.+or+monitor.DCTX.)+OR+(monitoring.CLTX.+or+monitoring.DCTX.)))+OR+((photovoltaic.CLTX.+or+photovoltaic.DCTX.)+AND+((monitor.CLTX.+or+monitor.DCTX.)+OR+(monitoring.CLTX.+or+monitoring.DCTX.))))&p=4&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),5,4,no,,patent search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,12/03/2004
104,2011,19-Apr-11,1-Jul-10,US 2010/0164288 A1,"Kent Kernahan, Sorin Andrei Spanoche",Array Converter Inc. ,Solar Inverter,7929324,363/65 ; 307/44; 307/45,Blade architecture array converter ,23-Nov-08,Start-up,Privately owned,PV inverter manufacturer,"Sunnyvale, CA",CA,USA,"A direct current to pulse amplitude modulated (“PAM”) current converter, denominated a “PAMCC”, is connected to an individual source of direct current. The PAMCC receives direct current and provides pulse amplitude modulated current at its output. The pulses are produced at a high frequency relative to the signal modulated on a sequence of pulses. The signal modulated onto a sequence of pulses may represent portions of a lower frequency sine wave or other lower frequency waveform, including DC. When the PAMCC's output is connected in parallel with the outputs of similar PAMCCs an array of PAMCCs is formed, wherein the output pulses of the PAMCCs are out of phase with respect to each other. An array of PAMCCs constructed in accordance with the present invention form a distributed multiphase inverter whose combined output is the demodulated sum of the current pulse amplitude modulated by each PAMCC.",Power converters are connected  directly to the DC source - PV panels,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7929324.PN.&OS=PN/7929324&RS=PN/7929324,0,4,," This application is a Continuation In Part application to the commonly-owned United States Nonprovisional application Ser. No. 12/061,025 filed Apr. 2, 2008 by Kernahan, et al, entitled DISTRIBUTED MULTIPHASE CONVERTERS, which is incorporated herein in its entirety and from which priority is claimed. Related patents: 7929324, 7719864",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,,TRUE,,http://www.arraypower.com/index.html,,TRUE,FALSE,FALSE,,,,2010,18/02/2010
111,2011,19-Apr-11,3-Dec-09,US 2009/0296434 A1,"Michael Andrew de Rooij, John Stanley Glaser",General Electric Company,Solar Inverter,7929325,363/71,"High efficiency, multi-source photovoltaic inverter ",27-May-08,Established ,Publicly Traded,"Energy, technology infrastructure, capital finance, and consumer & industrial conglomerate","Niskayuna, NY",NY,USA,A photovoltaic (PV) inverter system operates continuously in a buck converter mode to generate a sum of full wave rectified sine wave currents at a current node common to a plurality of buck converters in response to a plurality of full wave rectified sine wave currents generated via the plurality of buck converters. The PV inverter system increases the level of the voltage sourcing each buck converter when a corresponding DC power source voltage is lower than the instantaneous voltage of a utility grid connected to the PV inverter system.,Inverters are arranged to  operate continuously and raise the voltage level to meet grid demands,,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7929325,0,0,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2008,27/05/2008
104,2011,19-Apr-11,1-Jul-10,US 2010/0164288 A1,"Kent Kernahan, Sorin Andrei Spanoche",Array Converter Inc. ,Solar Inverter,7929326,363/71,Distributed multiphase converters,18-Feb-10,Start-up,Privately owned,PV inverter manufacturer,"Sunnyvale, CA",CA,USA,"A direct current to pulse amplitude modulated (“PAM”) current converter, denominated a “PAMCC”, is connected to an individual source of direct current. The PAMCC receives direct current and provides pulse amplitude modulated current at its output. The pulses are produced at a high frequency relative to the signal modulated on a sequence of pulses. The signal modulated onto a sequence of pulses may represent portions of a lower frequency sine wave or other lower frequency waveform, including DC. When the PAMCC's output is connected in parallel with the outputs of similar PAMCCs an array of PAMCCs is formed, wherein the output pulses of the PAMCCs are out of phase with respect to each other. An array of PAMCCs constructed in accordance with the present invention form a distributed multiphase inverter whose combined output is the demodulated sum of the current pulse amplitude modulated by each PAMCC.",Power converters are connected  directly to the DC source - PV panels,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7929326.PN.&OS=PN/7929326&RS=PN/7929326,0,4,," This application claims priority of and is a continuation of the commonly assigned U.S. patent application Ser. No. 12/061,025 filed 2 Apr. 2008 by Kent Kernahan and Sorin Spanoche, which is incorporated by reference herein in its entirety. Related patents: 7929324, 7719864",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,,TRUE,,http://www.arraypower.com/index.html,,TRUE,FALSE,FALSE,,,,2010,18/02/2010
119,2011,26-Apr-11,6-May-10,US 2010/0112851 A1,Stefan Giefers,Phoenix Contact GmbH & Co. KG,Solar Mounting/Rack; (Junction Box),7931488,439/441,Connection and junction box for a solar module,2-Apr-08,Established ,,Venture Capital,Blomberg,,Germany,"A connection and junction box for a photovoltaic solar module having flexible flat conductor band protruding from the surface of the solar module, wherein the connection and junction box has an insertion mouth at its side facing the solar module in mounted state, for at least one flexible flat conductor band of the solar module, and comprises a housing for attaching on the solar module, and a connection device for the flexible flat conductor band, positioned in the housing, the connection device has an electrical contact clamp, which is closed when putting the box on the solar module, and thereby catches and contacts the flat conductor band.",method of making and installing electrical conduit automatically in PV modules,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=52&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/p,0,1,,,Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2008,02/04/2008
142,2011,10-May-11,29-Apr-10,10-May-11,"Robert Scott Good, Alan R. MacDougall",Tyco Electronics Corporation,Solar Mounting/Rack;   ,7938661,439/271; 439/589,Photovoltaic module connector assembly,9-Sep-09,Established ,Publicly Traded,Solar power management and optimization,"Berwyn, PA",PA,USA,"A connector assembly includes a housing, a contact, a support plate, and posts. The housing extends between a mounting side and an opposite side. The mounting side is configured to be mounted to a first side of a photovoltaic module. The contact is held by the housing and is configured to be electrically coupled with the photovoltaic module. The support plate is configured to be mounted to a second side of the photovoltaic module. The posts are coupled with at least one of the housing and the support plate and extend through an opening in the photovoltaic module that extends therethrough and joined with the other of the housing and the support plate. The posts secure the housing to the photovoltaic module.",PV connectors that are tighly connected to PV Modules,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=51&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/p,1,3,,"Continuation in part of application No 12 260,658 filed on Oct 29 2008 ",Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2009,09/09/2009
124,2011,10-May-11,24-Dec-09,US 2009/0316452 A1,"Jin Wook Kim, Sung Soo Hong, Chung Wook Roh, Sang Kyoo Han, Jong Sun Kim, Jae Sun Won, Dong Seong Oh, Dea Min Jang, Jong Hae Kim","Samsung Electro-Mechanics Co., Ltd.",Solar Inverter,7940032,323/283; 323/284,Power supply having maximum power point tracking function ,31-Oct-08,Established ,Publicly Traded,,"Gyunggi-do, Korea",,Korea,"A power supply having a maximum power point tracking function that controls power switching so that a detected power value is within a reference range having a maximum power point in a predetermined current-voltage curve includes: a converter section switching input power and converting the switched input power into predetermined DC power; and a maximum power point tracking section detecting a power value determined according to a switching operation of the converter section among power values included in a predetermined power-voltage curve, and controlling the switching operation of the converter section so that the detected power value is located within a predetermined reference range having a maximum power value among the power values included in the power-voltage curve.",Inverter has MMPT integrated,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=58&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,0,0,,"[0001] This application claims the priority of Korean Patent Application No. 2008-0059456 filed on Jun. 24, 2008, in the Korean Intellectual Property Office, the disclosure of which is incorporated herein by reference.",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2008,31/10/2008
121,2011,31-May-11,9-Apr-09,US 2009/0091956 A1,"Danio Nocentini, Sauro Macerini, Nicola Femia, Massimo Vitelli, Giovanni Spagnuolo, Giovanni Petrone, Filippo De Rosa, Antonio Sirianni",Power-One Italy S.p.A,Solar Inverter; Solar Monitoring,7952897,363/41; 323/906,System for producing electric power from renewable sources and a control method thereof ,22-Dec-05,Established ,Publicly Traded,Solar Tracker Supplier,Arezzo,,Italy,"Described herein is a system for generating electric power, comprising: an electric-power source (1) having a preferential point of operation; a double-stage inverter (3A, 3B), which transfers the energy from said source to an external a.c.-voltage electrical network (9); a block (5) for identification of the preferential point of operation, which supplies a reference signal according to the conditions of operation of the electric-power source and to the preferential point of operation of said source; a corrector block (10), provided for setting the parameter for control of the boost converter (3A) of the double-stage inverter (3A, 3B) as a function of the reference signal and of a signal of actual operation of said electric-power source, and for maintaining the source in the proximity of the preferential point of operation.",,PV system includes double-stage inverter,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=57&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,3,0,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://www.power-one.com/,,TRUE,FALSE,TRUE,,TRUE,,2005,22/12/2005
130,2011,7-Jun-11,26-Nov-09,US 2009/0291594 A1,"Andreas Donth, Gundolf Mueller, Klaus Kube",SMA Solar Technology AG,Solar Inverter,7955134,439/620.26,Photovoltaic inverter,3-Apr-09,Established ,Publicly Traded,Inverter manufacturer,Niestetal,,Germany,A photovoltaic inverter with an inverter housing includes at least a first chamber and a second chamber separated by a wall. The first chamber has a higher Ingress Protection (IP) rating than the second chamber. The first chamber accommodates at least one electronic component part of the photovoltaic inverter. A surface of the wall facing the second chamber provides a plurality of fuse housings. Each of the fuse housings accommodates a fuse and being coupled to a plug connector electrically connected to the fuse. The plug connectors provide electrical connections to the first chamber.,Inverter architecture innovation,,http://www.google.com/patents?id=KejmAQAAEBAJ&zoom=4&dq=solar%20inverter&pg=PA1#v=onepage&q=solar%20inverter&f=false,3,0,,,Patent Search,"""solar inverter""",Utility,yes,Inverter (Claims) AND Photovoltaic (Claims),Yes,TRUE,,http://www.sma.de/en/company/about-sma.html,,TRUE,FALSE,FALSE,,,,2009,03/04/2009
122,2011,14-Jun-11,13-May-10,US 2010/0117623 A1,"John M. Fife, Michael A. Mills-Price, Steven G. Hummel","PV Powered, Inc.",Solar Inverter; Solar Monitoring,7960863,307/75; 136/206; 323/906,System and method of determining maximum power point tracking for a solar power inverter ,11-Nov-09,Start-up,Privately owned,,"Bend, OR",OR,USA,"A system and method for operating a photovoltaic element at or near a maximum power point. A maximum power point tracker changes a voltage or current set point of a photovoltaic element in sequential discrete steps, measuring an output power at each step after a predetermined settling time. A slope of a power-voltage curve is then estimated and the slope is corrected for irradiance changes. Finally, an operating voltage or current of the photovoltaic element is adjusted based on the slope of the power-voltage curve and other factors, causing the photovoltaic element to operate at or near its maximum power.",MPPT for inverter,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=55&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,5,0,,"[0001] This application claims the benefit of U.S. Provisional Patent Application No. 61/113,555, filed on Nov. 11, 2008, and which is incorporated herein by reference.",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://solarenergy.advanced-energy.com/,,TRUE,FALSE,TRUE,,TRUE,,2009,11/11/2009
51,2011,13 Jun 07,16 Dec 05,US 2009-0313081 A1,Beekhuis; Christiaan Willem,"Power-One Renewable Energy Solutions, LLC",Solar Monitoring,7962247,700/291 ; 714/2,"Computer implemented systems and methods for start-up, calibration and troubleshooting of an installed renewable energy system ",8 Nov 02,established,Publicly Traded,Container handling equipment manufacturer,"Camarillo, CA",CA,USA,"Systems and methods are provided for collecting, aggregating, and analyzing data associated with the installation and deployment of systems. Energy systems, (500) specifically renewable energy generation systems, are used as examples. The aggregated data serve as the basis for a variety of services that improve the system performance, improve the installation, lower the cost, and provide monitoring and service to maintain optimum performance. Finally, services are provided that improve the start-up, calibration, and configuration of systems.",data collection and aggragation,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=153&f=G&l=50&d=PTXT&s1=(((solar.CLTX.+or+solar.DCTX.)+AND+((monitor.CLTX.+or+monitor.DCTX.)+OR+(monitoring.CLTX.+or+monitoring.DCTX.)))+OR+((photovoltaic.CLTX.+or+photovoltaic.DCTX.)+AND+((monitor.CLTX.+or+monitor.DCTX.)+OR+(monitoring.CLTX.+or+monitoring.DCTX.))))&p=4&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),0,18,no,,patent search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,08/11/2002
50,2011,13 Jun 07,,,"Zhang; Jianhui (San Jose, CA), Djabbari; Ali (Saratoga, CA), Lisi; Gianpaolo (Campbell, CA)",National Semiconductor Corporation,Solar Monitoring,7962249,700/295 ; 307/82; 700/297,Method and system for providing central control in an energy generating system ,13 May 04,Established ,Publicly Traded,Architectural construction products,"Santa Clara, CA",CA,USA,"A central array controller for an energy generating array is provided. The array includes a plurality of energy generating devices, and each energy generating device is coupled to a corresponding local converter. The central array controller includes a diagnostic module that is capable of receiving, from each local converter in the array, device data for the energy generating device corresponding to the local converter. In one embodiment, the diagnostic module is also capable of receiving, from each local converter in the array, local converter data for the local converter.", ,control system with monitoring,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=152&f=G&l=50&d=PTXT&s1=(((solar.CLTX.+or+solar.DCTX.)+AND+((monitor.CLTX.+or+monitor.DCTX.)+OR+(monitoring.CLTX.+or+monitoring.DCTX.)))+OR+((photovoltaic.CLTX.+or+photovoltaic.DCTX.)+AND+((monitor.CLTX.+or+monitor.DCTX.)+OR+(monitoring.CLTX.+or+monitoring.DCTX.))))&p=4&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),3,48,no,,patent search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,control system,,,TRUE,,,,,13/05/2004
98,2011,21/06/2011,2-Jul-09,US 2009/0167097 A1,"Jack A. Gilmore, Eric Seymour","Advanced Energy Industries, Inc",Solar Inverter; Solar Mounting/Rack,7964837,12/31/2007,"Photovoltaic inverter interface device, system, and method ",31-Dec-07,Established ,Publicly Traded,Inverter  manufacturer,"Fort Collins, CO",CO,USA,"A photovoltaic system, method and apparatus are disclosed. In an exemplary embodiment, the system includes a first and second inputs adapted to couple to a first and second rails of a photovoltaic array; an inverter configured to convert DC power from the photovoltaic array to AC power; and an interface portion coupled to the first and second inputs and the inverter, the interface portion configured to isolate at least one of the first and second inputs from the inverter and to modulate an application of a voltage from the photovoltaic array to the inverter so as to increase a load on the photovoltaic array and to reduce the voltage applied from the photovoltaic array to the inverter.",Inverter is configured to increase efficiency,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=54&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM,0,2,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://www.advanced-energy.com/,,TRUE,TRUE,FALSE,,,,2007,31/12/2007
105,2011,28-Jun-11,17-Jun-10,US 2010/0149847 A1,Kent Kernahan,"Array Converter, Inc.",Solar Inverter,7969757,363/98 ; 136/293; 250/215; 323/906,Apparatus providing bias to solar cells ,12-Dec-08,Start-up,Privately owned,PV inverter manufacturer,"Sunnyvale, CA",CA,USA,"Solar panels of certain technologies may experience a degradation of their efficiency as a result of exposure to sunlight, either prior to installation or during normal operation. A direct current to pulse amplitude modulated (""PAM"") current converter, denominated a ""PAMCC"", is connected to the solar panel and to a source of alternating current. The PAMCC receives direct current from the solar panel and provides pulse amplitude modulated current at its output terminals at such times that the solar panel is capable to provide current, denominated ""normal operation"". The PAMCC may be reconfigured to form a buck converter and a rectifier wherein the rectifier converts power received at the output (during normal operation) terminals to provide rectified, direct current to the buck converter. The buck converter provides direct current in the forward biased direction to the solar panel, thereby reconditioning the solar panel. Alternating current received at the output terminals of the PAMCC may be provided by an electric grid or by other means, such as other solar power converters.",Power converters are connected  directly to the DC source - PV panels,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7969757.PN.&OS=PN/7969757&RS=PN/7969757,0,2,,"This application is related to commonly-owned U.S. patent application Ser. No. 12/061,025 submitted Apr. 2, 2008 by Kernahan et al, which application is incorporated herein in its entirety.",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://www.arraypower.com/index.html,,TRUE,FALSE,FALSE,,,,2008,12/12/2008
148,2011,5-Jul-11,23-Sep-10,US 2010/0236609 A1,Richard Tweedie,,Solar Mounting/Rack  ,7971398,52/173.3; 52/741.1; 52/747.1,Photovoltaic solar panel mounting system ,20-Mar-09,Individual,,,"(Santa Rose, CA)",CA,USA,"A system and method for mounting photovoltaic solar panels onto a roof. The system includes first and second strut rails spaced from the roof employing a series of standoffs, the strut rails having a length, cross section, a base and side walls, side walls terminating with first and second turned in edges. First and second mounting fixtures are attached to the photovoltaic solar panels which are of a type and geometry enabling the solar panels to be removably appended to the strut rails. The first and second mounting fixtures can be applied to the photovoltaic solar panels before being elevated to a roof.",PV mounting that allos PV panels to sit in a liquid coolant,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=47&f=G&l=50&co1=AND&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/mounting+AND+ACLM,0,,,Related to Patent: 8136310,Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2009,20/03/2009
117,2011,5-Jul-11,17-Dec-09,US 2009/0310286 A1,Landon Miller,International Business Machines Corporation,Solar Mounting/Rack  (for monitoring systems),7974079,6/17/2008,Integrated mounting system for communication and surveillance infrastructures,17-Jun-08,Established ,Publicly Traded,Technology services,"Armonk, NY",NY,USA,"An integrated mounting system for communication and surveillance infrastructures includes a gantry, a system cabinet, and an interconnecting conduit. The gantry includes a frame configured for housing functional devices (e.g., antennas, video cameras, sensors, photovoltaic panels, and the like) and supporting posts. The system cabinet contains electronic equipment of the functional devices and provides connectivity to land data networks and external sources of power. The system may be installed on a trailer and include autonomous sources of power.",,Mounting system to put communications or monitoring equipment on PV array,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=46&f=G&l=50&co1=AND&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/mounting+AND+ACLM,0,0,,"This application relates to commonly assigned U.S. patent application Ser. No. 12/140,897, filed concurrently herewith and titled ""Integrated Mounting System For Communication And Surveillance Infrastructures."" The contents of which is incorporated herein by reference in its entirety.",Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2008,17/06/2008
147,2011,12-Jul-11,NOTE:  the lag time between filing and issue is too short for publication. ,,Eric Wahl,,Solar Inverter; Solar Monitoring,7977818,307/53; 307/45,Safety device for plug and play solar energy system ,25-Jan-11,Individual,,,"(New Castle, CO)",CO,USA,An apparatus and system for preventing branch circuit current overload in a non-dedicated branch circuit where current is supplied at least in part by a co-generation power system through an electrical receptacle or outlet. Co-generation systems of this type are typically used in residential applications and can include solar photovoltaic systems and wind turbines. The apparatus modulates or adjusts the current flowing into the branch circuit from the co-generation power system so that the apparatus does not cause the combination of current supplied from the utility power grid into the branch circuit and current supplied by the co-generation system into the branch circuit outlet to exceed the branch circuit current capacity.,,Inverter is part of a system to manage power flows  to avoid overloading  circuits in small PV systems,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7977818.PN.&OS=PN/7977818&RS=PN/7977818,0,0,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,TRUE,FALSE,TRUE,,TRUE,,2011,25/01/2011
108,2011,26-Jul-11,26-Mar-09,US 2009/0079383 A1,"Martin Fornage, Mudhafar Hassan-Ali","Enphase Energy, Inc.",Solar Inverter,7986122,320/101; 307/46,Method and apparatus for power conversion with maximum power point tracking,25-Sep-08,Established ,Publicly Traded,Inverter manufacturer,"Petaluma, CA",CA,USA,"An apparatus and method for converting a DC input power to a DC output power. The apparatus comprises an energy storage module and a burst mode controller. The burst mode controller causes energy to be stored in the energy storage module during at least one storage period, and further causes the energy to be drawn from the energy storage module during at least one burst period. During the at least one burst period, the DC output power is greater than the DC input power. Additionally, the burst mode controller employs a maximum power point tracking (MPPT) technique for operating a device providing the DC input power proximate a maximum power point (MPP).","MPPT is integrated in inverter, which is linked storage module and system for managing DC voltage",,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7986122,1,2,,"[0001] This application claims benefit of U.S. provisional patent application Ser. No. 60/995,409, filed Sep. 26, 2007, which is herein incorporated by reference. ",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://enphase.com/,,TRUE,FALSE,FALSE,,,,2008,25/09/2008
